Row ID,Detector ID,KITS ID,Read Date,Intersection Name,Lane,Volume,Occupancy,Speed,Month,Day,Year,Hour,Minute,Day of Week,Time Bin,Direction
9de27c4292306d305fc781dad25347c4,10,3,01/01/156489 12:00:00,LAMARSHOALCREEK,SB_out,20,1,33,8,3,2019,23,15,6,23:15,SB
5a58ba1a18de408f38d6d3394c1a580e,44,15,9/8/2021 12:00,Cesar ChavezBR Reynolds,EB_out,151,6,42,9,8,2021,12,0,3,12:00,EB
8b121e2c3d4ee91675ba11b276c77200,45,15,9/8/2021 12:00,Cesar ChavezBR Reynolds,EB_in,158,6,45,9,8,2021,12,0,3,12:00,EB
5a4544b7a131ef81012c38818a9d76bb,46,15,9/8/2021 12:00,Cesar ChavezBR Reynolds,WB_in,113,4,44,9,8,2021,12,0,3,12:00,WB
e8c8f6687493ef321cc18f3ade802ab4,47,15,9/8/2021 12:00,Cesar ChavezBR Reynolds,WB_out,127,6,43,9,8,2021,12,0,3,12:00,WB
7dba1e3c716271ab90e37abcbe4cda4c,1,1,9/8/2021 12:00,LAMARMANCHACA,NB_out,114,7,29,9,8,2021,12,0,3,12:00,NB
95951bd7bb5eb0722fa1c20192d5c221,2,1,9/8/2021 12:00,LAMARMANCHACA,NB_in,96,5,31,9,8,2021,12,0,3,12:00,NB
443ebee2e28f1e5363a00c5c4ef38242,3,1,9/8/2021 12:00,LAMARMANCHACA,SB_in,0,0,149,9,8,2021,12,0,3,12:00,SB
bcbf1b9555add8b3b41144ccbb5c4b0d,4,1,9/8/2021 12:00,LAMARMANCHACA,SB_out,0,0,149,9,8,2021,12,0,3,12:00,SB
e583e7946570bac0b121da5ac013c5ec,10,3,9/8/2021 12:00,LAMARSHOALCREEK,SB_out,68,3,33,9,8,2021,12,0,3,12:00,SB
7b2987e8889155aac98176179c836186,11,3,9/8/2021 12:00,LAMARSHOALCREEK,SB_in,111,6,31,9,8,2021,12,0,3,12:00,SB
7575b972d0aacfcd12da606909b09a44,12,3,9/8/2021 12:00,LAMARSHOALCREEK,NB_in,114,6,29,9,8,2021,12,0,3,12:00,NB
8bee287a03e281e68f0d6a5337edbe3b,13,3,9/8/2021 12:00,LAMARSHOALCREEK,NB_out,92,5,26,9,8,2021,12,0,3,12:00,NB
844613334f4ff1c5030accfdea2116a2,30,10,9/8/2021 12:00,LamarBroken Spoke,Lane1,100,5,38,9,8,2021,12,0,3,12:00,Lane1
5a481494968ca199e7845cd91e32ea5c,31,10,9/8/2021 12:00,LamarBroken Spoke,Lane2,142,8,37,9,8,2021,12,0,3,12:00,Lane2
cbff725971600b5cbb48db7a47b697eb,32,10,9/8/2021 12:00,LamarBroken Spoke,Lane3,135,8,37,9,8,2021,12,0,3,12:00,Lane3
37a2a5dbb1f90de134c4ba02eb2de3c4,33,10,9/8/2021 12:00,LamarBroken Spoke,Lane4,135,12,32,9,8,2021,12,0,3,12:00,Lane4
887e4bd7459581aaa6fe500759ddfa73,78,20,9/8/2021 12:00,CESAR CHAVEZIH 35 WSR,WB_out,130,10,25,9,8,2021,12,0,3,12:00,WB
144370c9a9bed771fae322b00b99cdda,79,20,9/8/2021 12:00,CESAR CHAVEZIH 35 WSR,WB_in,64,4,27,9,8,2021,12,0,3,12:00,WB
de438e00795c09dcb8274fcfacc5ec69,80,20,9/8/2021 12:00,CESAR CHAVEZIH 35 WSR,EB_in,109,11,23,9,8,2021,12,0,3,12:00,EB
1a50ed8c8997dfd3dc1c7f05beee9e59,81,20,9/8/2021 12:00,CESAR CHAVEZIH 35 WSR,EB_mid,97,10,24,9,8,2021,12,0,3,12:00,EB
